Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Source Code,FAO Source,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","1998","1998","%","70.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","1998","1998","%","1.0236724615","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","1998","1998","%","6.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","1999","1999","1000 persons","229","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","1999","1999","%","68","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","1999","1999","%","70.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","1999","1999","%","1.007874012","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","1999","1999","%","6.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2000","2000","1000 persons","223","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2000","2000","%","68.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2000","2000","%","71.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2000","2000","%","1.0357815027","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2000","2000","%","6.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2001","2001","1000 persons","215","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2001","2001","%","68.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2001","2001","%","70.7","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2001","2001","%","1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2001","2001","%","5.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2002","2002","1000 persons","211","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2002","2002","%","69.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2002","2002","%","71.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2002","2002","%","1.1027095318","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2002","2002","%","5.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2003","2003","1000 persons","206","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2003","2003","%","69.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2003","2003","%","72","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2003","2003","%","1.2281240225","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2003","2003","%","5.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2004","2004","1000 persons","176","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2004","2004","%","66.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2004","2004","%","68.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2004","2004","%","1.0149064064","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2004","2004","%","4.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2005","2005","1000 persons","198","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2005","2005","%","69.4","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2005","2005","%","72.3","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2005","2005","%","0.9809932709","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2005","2005","%","5.3","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2006","2006","1000 persons","201","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2006","2006","%","70.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2006","2006","%","73.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2006","2006","%","1.0820559263","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2006","2006","%","5.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2007","2007","1000 persons","217","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2007","2007","%","72.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2007","2007","%","74.7","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2007","2007","%","1.0924121141","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2007","2007","%","5.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2008","2008","1000 persons","210","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2008","2008","%","73.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2008","2008","%","75.3","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2008","2008","%","0.8398494124","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2008","2008","%","5.3","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2009","2009","1000 persons","212","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2009","2009","%","73.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2009","2009","%","75.7","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2009","2009","%","0.9595812559","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2009","2009","%","5.3","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2010","2010","1000 persons","209","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2010","2010","%","73.3","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2010","2010","%","75.7","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2010","2010","%","0.982091248","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2010","2010","%","5.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2011","2011","1000 persons","200","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2011","2011","%","73.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2011","2011","%","75.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2011","2011","%","0.7683551311","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2011","2011","%","4.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2012","2012","1000 persons","191","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2012","2012","%","74.1","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2012","2012","%","76.4","X","International reliable sources","EU Labour Force Survey. Break in series: Methodology revised
[B] Break in series"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2012","2012","%","0.7603492141","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2012","2012","%","4.7","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2013","2013","1000 persons","188","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2013","2013","%","74.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2013","2013","%","77","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2013","2013","%","0.7297221422","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2013","2013","%","4.6","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2014","2014","1000 persons","199","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2014","2014","%","74.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2014","2014","%","77","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2014","2014","%","0.7851935029","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2014","2014","%","4.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2015","2015","1000 persons","188","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2015","2015","%","74.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2015","2015","%","77.2","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2015","2015","%","0.8312551975","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2015","2015","%","4.5","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2016","2016","1000 persons","184","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2016","2016","%","74.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2016","2016","%","77.6","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2016","2016","%","0.8417051435","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2016","2016","%","4.4","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3024","European Union Labour force survey","2017","2017","1000 persons","167","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21069","Employment-to-population ratio, rural areas","3024","European Union Labour force survey","2017","2017","%","75.8","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21072","Labour force participation rate, rural areas","3024","European Union Labour force survey","2017","2017","%","78.1","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21081","Share of employees in agriculture (% of total employees)","3024","European Union Labour force survey","2017","2017","%","0.7768550515","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3024","European Union Labour force survey","2017","2017","%","3.9","X","International reliable sources","EU Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1983","1983","1000 persons","313","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1983","1983","%","9.9","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1984","1984","1000 persons","304","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1984","1984","%","9.4","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1985","1985","1000 persons","291","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1985","1985","%","9","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1986","1986","1000 persons","283","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1986","1986","%","8.6","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1987","1987","1000 persons","285","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1987","1987","%","8.6","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1988","1988","1000 persons","270","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1988","1988","%","8.1","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1989","1989","1000 persons","266","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1989","1989","%","7.9","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1990","1990","1000 persons","269","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1990","1990","%","7.9","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1991","1991","1000 persons","256","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1991","1991","%","7.4","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1992","1992","1000 persons","250","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1992","1992","%","7.1","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1993","1993","1000 persons","247","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1993","1993","%","6.9","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21066","Employment in agriculture","3023","Labour force survey","1994","1994","1000 persons","269","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","11","Austria","21063","Share of employment in agriculture (% of total employment)","3023","Labour force survey","1994","1994","%","7.2","X","International reliable sources","Labour Force Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1969","1969","1000 persons","2902","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1969","1969","%","14.3","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1970","1970","1000 persons","2751","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1970","1970","%","13.4","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1971","1971","1000 persons","2612","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1971","1971","%","12.6","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1972","1972","1000 persons","2470","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1972","1972","%","11.8","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1973","1973","1000 persons","2345","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1973","1973","%","11.1","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1974","1974","1000 persons","2242","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1974","1974","%","10.5","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1975","1975","1000 persons","2156","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1975","1975","%","10.2","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1976","1976","1000 persons","2082","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1976","1976","%","9.8","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1977","1977","1000 persons","2013","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1977","1977","%","9.4","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1978","1978","1000 persons","1955","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1978","1978","%","9.1","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1979","1979","1000 persons","1880","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1979","1979","%","8.7","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1980","1980","1000 persons","1821","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1980","1980","%","8.4","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1981","1981","1000 persons","1754","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1981","1981","%","8.1","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1982","1982","1000 persons","1691","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1982","1982","%","7.8","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1983","1983","1000 persons","1640","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1983","1983","%","7.6","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21066","Employment in agriculture","3018","Employment surveys","1984","1984","1000 persons","1586","X","International reliable sources","Employment Survey"
"OE","Employment Indicators","68","France","21063","Share of employment in agriculture (% of total employment)","3018","Employment surveys","1984","1984","%","7.4","X","International reliable sources","Employment Survey"
